name,delay,delay_time,quorum,voting_period,voting_period_time,voting_type
#/snapshot.dcl.eth,,h,1000,,h,Any
#/opcollective.eth,,h,1000,221,h,Basic voting
#/dydxgov.eth,24,h,1000,96,h,Any
#/balancer.eth,,h,200000,,h,Any
#/thegurudao.eth,,h,1270,72,h,Any
#/xdaistake.eth,,h,1000,,h,Any
#/graphprotocol.eth,,h,1000,,h,Any
#/badgerdao.eth,,h,1000,,h,Any
#/aavegotchi.eth,,h,1000,,h,Any
#/loot-dao.eth,,h,1000,,h,Any
#/shellprotocol.eth,,h,1000,,h,Any
#/zora.eth,,h,1000,,h,Any
#/younghwang.eth,,h,1000,,h,Any
#/qidao.eth,,h,1000,,h,Any
#/paraswap-dao.eth,,h,1000,,h,Any
#/gnosis.eth,,h,1000,168,h,Basic voting
#/beefydao.eth,,h,800,,h,Any
#/ilvgov.eth,,h,1000,,h,Any
#/gyrodao.eth,,h,1000,,h,Any
#/1inch.eth,1,h,10000000,168,h,Single choice voting
#/hakka.eth,,h,1000,,h,Any
#/ybaby.eth,1,h,1000,120,h,Any
#/mutantsdao.eth,,h,1000,,h,Any
#/rarible.eth,,h,1000,,h,Any
#/ens.eth,,h,1000,120,h,Any
#/gitcoindao.eth,,h,1000,,h,Any
#/aave.eth,,h,1000,,h,Any
#/sushigov.eth,,h,1000,,h,Any
#/cakevote.eth,,h,1000,,h,Any
#/olympusdao.eth,,h,1000,,h,Any
#/banklessvault.eth,,h,1000,,h,Any
#/poh.eth,,h,1000,,h,Any
#/arbitrum-odyssey.eth,,h,1000,,h,Any
#/curve.eth,,h,1000,,h,Any
#/snapshot.dcl.eth,,h,1000,,h,Any
#/opcollective.eth,,h,1000,221,h,Basic voting
#/dydxgov.eth,24,h,1000,96,h,Any
#/balancer.eth,,h,200000,,h,Any
#/thegurudao.eth,,h,1270,72,h,Any
#/xdaistake.eth,,h,1000,,h,Any
#/graphprotocol.eth,,h,1000,,h,Any
#/badgerdao.eth,,h,1000,,h,Any
#/aavegotchi.eth,,h,1000,,h,Any
#/loot-dao.eth,,h,1000,,h,Any
#/shellprotocol.eth,,h,1000,,h,Any
#/zora.eth,,h,1000,,h,Any
#/younghwang.eth,,h,1000,,h,Any
#/qidao.eth,,h,1000,,h,Any
#/paraswap-dao.eth,,h,1000,,h,Any
#/gnosis.eth,,h,1000,168,h,Basic voting
#/beefydao.eth,,h,800,,h,Any
#/ilvgov.eth,,h,1000,,h,Any
#/gyrodao.eth,,h,1000,,h,Any
#/1inch.eth,1,h,10000000,168,h,Single choice voting
#/hakka.eth,,h,1000,,h,Any
#/ybaby.eth,1,h,1000,120,h,Any
#/mutantsdao.eth,,h,1000,,h,Any
#/rarible.eth,,h,1000,,h,Any
#/ens.eth,,h,1000,120,h,Any
#/gitcoindao.eth,,h,1000,,h,Any
#/aave.eth,,h,1000,,h,Any
#/sushigov.eth,,h,1000,,h,Any
#/cakevote.eth,,h,1000,,h,Any
#/olympusdao.eth,,h,1000,,h,Any
#/banklessvault.eth,,h,1000,,h,Any
#/poh.eth,,h,1000,,h,Any
#/arbitrum-odyssey.eth,,h,1000,,h,Any
#/curve.eth,,h,1000,,h,Any
#/snapshot.dcl.eth,,h,1000,,h,Any
#/opcollective.eth,,h,1000,221,h,Basic voting
#/dydxgov.eth,24,h,1000,96,h,Any
#/balancer.eth,,h,200000,,h,Any
#/thegurudao.eth,,h,1270,72,h,Any
#/xdaistake.eth,,h,1000,,h,Any
#/graphprotocol.eth,,h,1000,,h,Any
#/badgerdao.eth,,h,1000,,h,Any
#/aavegotchi.eth,,h,1000,,h,Any
#/loot-dao.eth,,h,1000,,h,Any
#/shellprotocol.eth,,h,1000,,h,Any
#/zora.eth,,h,1000,,h,Any
#/younghwang.eth,,h,1000,,h,Any
#/qidao.eth,,h,1000,,h,Any
#/paraswap-dao.eth,,h,1000,,h,Any
#/gnosis.eth,,h,1000,168,h,Basic voting
#/beefydao.eth,,h,800,,h,Any
#/ilvgov.eth,,h,1000,,h,Any
#/gyrodao.eth,,h,1000,,h,Any
#/1inch.eth,1,h,10000000,168,h,Single choice voting
#/hakka.eth,,h,1000,,h,Any
#/ybaby.eth,1,h,1000,120,h,Any
#/mutantsdao.eth,,h,1000,,h,Any
#/rarible.eth,,h,1000,,h,Any
#/ens.eth,,h,1000,120,h,Any
#/gitcoindao.eth,,h,1000,,h,Any
#/aave.eth,,h,1000,,h,Any
#/sushigov.eth,,h,1000,,h,Any
#/cakevote.eth,,h,1000,,h,Any
#/olympusdao.eth,,h,1000,,h,Any
#/banklessvault.eth,,h,1000,,h,Any
#/poh.eth,,h,1000,,h,Any
#/arbitrum-odyssey.eth,,h,1000,,h,Any
#/curve.eth,,h,1000,,h,Any
#/snapshot.dcl.eth,,h,1000,,h,Any
#/opcollective.eth,,h,1000,221,h,Basic voting
#/dydxgov.eth,24,h,1000,96,h,Any
#/balancer.eth,,h,200000,,h,Any
#/thegurudao.eth,,h,1270,72,h,Any
#/xdaistake.eth,,h,1000,,h,Any
#/graphprotocol.eth,,h,1000,,h,Any
#/badgerdao.eth,,h,1000,,h,Any
#/aavegotchi.eth,,h,1000,,h,Any
#/loot-dao.eth,,h,1000,,h,Any
#/shellprotocol.eth,,h,1000,,h,Any
#/zora.eth,,h,1000,,h,Any
#/younghwang.eth,,h,1000,,h,Any
#/qidao.eth,,h,1000,,h,Any
#/paraswap-dao.eth,,h,1000,,h,Any
#/gnosis.eth,,h,1000,168,h,Basic voting
#/beefydao.eth,,h,800,,h,Any
#/ilvgov.eth,,h,1000,,h,Any
#/gyrodao.eth,,h,1000,,h,Any
#/1inch.eth,1,h,10000000,168,h,Single choice voting
#/hakka.eth,,h,1000,,h,Any
#/ybaby.eth,1,h,1000,120,h,Any
#/mutantsdao.eth,,h,1000,,h,Any
#/rarible.eth,,h,1000,,h,Any
#/ens.eth,,h,1000,120,h,Any
#/gitcoindao.eth,,h,1000,,h,Any
#/aave.eth,,h,1000,,h,Any
#/sushigov.eth,,h,1000,,h,Any
#/cakevote.eth,,h,1000,,h,Any
#/olympusdao.eth,,h,1000,,h,Any
#/banklessvault.eth,,h,1000,,h,Any
#/poh.eth,,h,1000,,h,Any
#/arbitrum-odyssey.eth,,h,1000,,h,Any
#/curve.eth,,h,1000,,h,Any
#/snapshot.dcl.eth,,h,1000,,h,Any
#/opcollective.eth,,h,1000,221,h,Basic voting
#/dydxgov.eth,24,h,1000,96,h,Any
#/balancer.eth,,h,200000,,h,Any
#/thegurudao.eth,,h,1270,72,h,Any
#/xdaistake.eth,,h,1000,,h,Any
#/graphprotocol.eth,,h,1000,,h,Any
#/badgerdao.eth,,h,1000,,h,Any
#/aavegotchi.eth,,h,1000,,h,Any
#/loot-dao.eth,,h,1000,,h,Any
#/shellprotocol.eth,,h,1000,,h,Any
#/zora.eth,,h,1000,,h,Any
#/younghwang.eth,,h,1000,,h,Any
#/qidao.eth,,h,1000,,h,Any
#/paraswap-dao.eth,,h,1000,,h,Any
#/gnosis.eth,,h,1000,168,h,Basic voting
#/beefydao.eth,,h,800,,h,Any
#/ilvgov.eth,,h,1000,,h,Any
#/gyrodao.eth,,h,1000,,h,Any
#/1inch.eth,1,h,10000000,168,h,Single choice voting
#/hakka.eth,,h,1000,,h,Any
#/ybaby.eth,1,h,1000,120,h,Any
#/mutantsdao.eth,,h,1000,,h,Any
#/rarible.eth,,h,1000,,h,Any
#/ens.eth,,h,1000,120,h,Any
#/gitcoindao.eth,,h,1000,,h,Any
#/aave.eth,,h,1000,,h,Any
#/sushigov.eth,,h,1000,,h,Any
#/cakevote.eth,,h,1000,,h,Any
#/olympusdao.eth,,h,1000,,h,Any
#/banklessvault.eth,,h,1000,,h,Any
#/poh.eth,,h,1000,,h,Any
#/arbitrum-odyssey.eth,,h,1000,,h,Any
#/curve.eth,,h,1000,,h,Any
#/snapshot.dcl.eth,,h,1000,,h,Any
#/opcollective.eth,,h,1000,221,h,Basic voting
#/dydxgov.eth,24,h,1000,96,h,Any
#/balancer.eth,,h,200000,,h,Any
#/thegurudao.eth,,h,1270,72,h,Any
#/xdaistake.eth,,h,1000,,h,Any
#/graphprotocol.eth,,h,1000,,h,Any
#/badgerdao.eth,,h,1000,,h,Any
#/aavegotchi.eth,,h,1000,,h,Any
#/loot-dao.eth,,h,1000,,h,Any
#/shellprotocol.eth,,h,1000,,h,Any
#/zora.eth,,h,1000,,h,Any
#/younghwang.eth,,h,1000,,h,Any
#/qidao.eth,,h,1000,,h,Any
#/paraswap-dao.eth,,h,1000,,h,Any
#/gnosis.eth,,h,1000,168,h,Basic voting
#/beefydao.eth,,h,800,,h,Any
#/ilvgov.eth,,h,1000,,h,Any
#/gyrodao.eth,,h,1000,,h,Any
#/1inch.eth,1,h,10000000,168,h,Single choice voting
#/hakka.eth,,h,1000,,h,Any
#/ybaby.eth,1,h,1000,120,h,Any
#/mutantsdao.eth,,h,1000,,h,Any
#/rarible.eth,,h,1000,,h,Any
